horse,horseLabel,birthYear,deathYear,genderLabel,breedLabel
http://www.wikidata.org/entity/Q5172152,Coronado's Quest,1995,2006,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5180163,Cozzene,1980,2008,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5190874,Cryptoclearance,1984,2009,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5199345,Cyllene,1895,1925,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5207249,Da Hoss,1992,2022,,чистокровная верховая
http://www.wikidata.org/entity/Q5212022,Damascus,1964,1995,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5215257,Dance in the Dark,1993,2020,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5215387,Dancer's Image,1965,1992,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5215867,Danehill Dancer,1993,2017,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5220982,Danoli,1988,2006,,чистокровная верховая
http://www.wikidata.org/entity/Q5160988,Congreve,1924,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5161115,Coniston Bluebird,2005,,,чистокровная верховая
http://www.wikidata.org/entity/Q5161319,Connaught Bridge,1976,,самка,чистокровная верховая
http://www.wikidata.org/entity/Q5161968,Conniver,1944,,самка,чистокровная верховая
http://www.wikidata.org/entity/Q5162470,Conquistador Cielo,1979,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5165223,Continent,1997,,,чистокровная верховая
http://www.wikidata.org/entity/Q5166128,Convenience,1968,,самка,чистокровная верховая
http://www.wikidata.org/entity/Q5166533,Conveyance,2007,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5167302,Cool Ground,1982,,,чистокровная верховая
http://www.wikidata.org/entity/Q5167327,Cool Reception,1964,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5169744,Corbiere,1975,,,чистокровная верховая
http://www.wikidata.org/entity/Q5170313,Coretta,1994,,самка,чистокровная верховая
http://www.wikidata.org/entity/Q5170571,Corinne,1815,,самка,чистокровная верховая
http://www.wikidata.org/entity/Q5170682,Corinthian,2003,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5172147,Coronach,1923,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5172200,Coronation,1838,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5172429,Corporate Report,1988,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5172929,Corrida,1932,,самка,чистокровная верховая
http://www.wikidata.org/entity/Q5174045,Cosmic Bomb,1944,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5174683,Cossack,1844,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5175355,Cotherstone,1840,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5175527,Cottage Rake,1939,,,чистокровная верховая
http://www.wikidata.org/entity/Q5176702,Count Ricardo,2001,,,чистокровная верховая
http://www.wikidata.org/entity/Q5176713,Count Turf,1948,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5177010,Counterpoint,1948,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5177427,Country Star,2005,,самка,чистокровная верховая
http://www.wikidata.org/entity/Q5178087,Courageous Comet,1996,,,чистокровная верховая
http://www.wikidata.org/entity/Q5178255,Court Martial,1942,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5179040,Coventry,1922,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5179853,Cox's Ridge,1974,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5180586,Crafty Lace,1959,,,чистокровная верховая
http://www.wikidata.org/entity/Q5182706,Cravat,1935,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5184079,Creme Fraiche,1982,,,чистокровная верховая
http://www.wikidata.org/entity/Q5184109,Cremorne,1869,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5184205,Creole Maid,1935,,самка,чистокровная верховая
http://www.wikidata.org/entity/Q5184233,Crepello,1954,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5185611,Criminal Type,1985,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5185707,Crimson Satan,1959,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5185998,Crisp,1963,,,чистокровная верховая
http://www.wikidata.org/entity/Q5186456,Cristobal,2004,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5189804,Crucifix,1837,,самка,чистокровная верховая
http://www.wikidata.org/entity/Q5190154,Crusader,1923,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5190875,Cryptocloser,1994,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5191299,Crystal Music,1998,,самка,чистокровная верховая
http://www.wikidata.org/entity/Q5191822,Cuan Na Grai,2001,,,чистокровная верховая
http://www.wikidata.org/entity/Q5192501,Cuddle,1929,,самка,чистокровная верховая
http://www.wikidata.org/entity/Q5192525,Cudgel,1914,,самец,чистокровная верховая
http://www.wikidata.org/entity/Q5193475,Culture Vulture,1989,,самка,чистокровная верховая
http://www.wikidata.org/entity/Q5193763,Cum Laude Laurie,1974,,самка,чистокровная верховая
